time,hour,quarter_hour,office_company_building_kw,light_factory_one_shift_kw,two_shift_manufacturing_kw,continuous_process_24_7_kw,logistics_ev_depot_kw
2026-06-24 11:00:00,11,11:00,860.0,1460.0,1560.0,1225.0,480.0
2026-06-24 11:15:00,11,11:15,856.25,1455.0,1555.0,1226.25,475.0
2026-06-24 11:30:00,11,11:30,852.5,1450.0,1550.0,1227.5,470.0
2026-06-24 11:45:00,11,11:45,848.75,1445.0,1545.0,1228.75,465.0
2026-06-24 12:00:00,12,12:00,845.0,1440.0,1540.0,1230.0,460.0
2026-06-24 12:15:00,12,12:15,842.5,1435.0,1537.5,1227.5,462.5
2026-06-24 12:30:00,12,12:30,840.0,1430.0,1535.0,1225.0,465.0
2026-06-24 12:45:00,12,12:45,837.5,1425.0,1532.5,1222.5,467.5
2026-06-24 13:00:00,13,13:00,835.0,1420.0,1530.0,1220.0,470.0
2026-06-24 13:15:00,13,13:15,831.25,1410.0,1527.5,1218.75,482.5
2026-06-24 13:30:00,13,13:30,827.5,1400.0,1525.0,1217.5,495.0
2026-06-24 13:45:00,13,13:45,823.75,1390.0,1522.5,1216.25,507.5
2026-06-24 14:00:00,14,14:00,820.0,1380.0,1520.0,1215.0,520.0
2026-06-24 14:15:00,14,14:15,812.5,1355.0,1515.0,1217.5,552.5
2026-06-24 14:30:00,14,14:30,805.0,1330.0,1510.0,1220.0,585.0
2026-06-24 14:45:00,14,14:45,797.5,1305.0,1505.0,1222.5,617.5
2026-06-24 15:00:00,15,15:00,790.0,1280.0,1500.0,1225.0,650.0
2026-06-24 15:15:00,15,15:15,772.5,1185.0,1495.0,1228.75,700.0
2026-06-24 15:30:00,15,15:30,755.0,1090.0,1490.0,1232.5,750.0
2026-06-24 15:45:00,15,15:45,737.5,995.0,1485.0,1236.25,800.0
2026-06-24 16:00:00,16,16:00,720.0,900.0,1480.0,1240.0,850.0
2026-06-24 16:15:00,16,16:15,680.0,837.5,1472.5,1242.5,882.5
2026-06-24 16:30:00,16,16:30,640.0,775.0,1465.0,1245.0,915.0
2026-06-24 16:45:00,16,16:45,600.0,712.5,1457.5,1247.5,947.5
2026-06-24 17:00:00,17,17:00,560.0,650.0,1450.0,1250.0,980.0
2026-06-24 17:15:00,17,17:15,515.0,617.5,1432.5,1248.75,1015.0
2026-06-24 17:30:00,17,17:30,470.0,585.0,1415.0,1247.5,1050.0
2026-06-24 17:45:00,17,17:45,425.0,552.5,1397.5,1246.25,1085.0
2026-06-24 18:00:00,18,18:00,380.0,520.0,1380.0,1245.0,1120.0
2026-06-24 18:15:00,18,18:15,350.0,507.5,1347.5,1242.5,1177.5
2026-06-24 18:30:00,18,18:30,320.0,495.0,1315.0,1240.0,1235.0
2026-06-24 18:45:00,18,18:45,290.0,482.5,1282.5,1237.5,1292.5
2026-06-24 19:00:00,19,19:00,260.0,470.0,1250.0,1235.0,1350.0
2026-06-24 19:15:00,19,19:15,250.0,465.0,1217.5,1230.0,1412.5
2026-06-24 19:30:00,19,19:30,240.0,460.0,1185.0,1225.0,1475.0
2026-06-24 19:45:00,19,19:45,230.0,455.0,1152.5,1220.0,1537.5
2026-06-24 20:00:00,20,20:00,220.0,450.0,1120.0,1215.0,1600.0
2026-06-24 20:15:00,20,20:15,216.25,445.0,1052.5,1208.75,1637.5
2026-06-24 20:30:00,20,20:30,212.5,440.0,985.0,1202.5,1675.0
2026-06-24 20:45:00,20,20:45,208.75,435.0,917.5,1196.25,1712.5
2026-06-24 21:00:00,21,21:00,205.0,430.0,850.0,1190.0,1750.0
2026-06-24 21:15:00,21,21:15,202.5,427.5,792.5,1183.75,1732.5
2026-06-24 21:30:00,21,21:30,200.0,425.0,735.0,1177.5,1715.0
2026-06-24 21:45:00,21,21:45,197.5,422.5,677.5,1171.25,1697.5
2026-06-24 22:00:00,22,22:00,195.0,420.0,620.0,1165.0,1680.0
2026-06-24 22:15:00,22,22:15,192.5,417.5,600.0,1160.0,1655.0
2026-06-24 22:30:00,22,22:30,190.0,415.0,580.0,1155.0,1630.0
2026-06-24 22:45:00,22,22:45,187.5,412.5,560.0,1150.0,1605.0
2026-06-24 23:00:00,23,23:00,185.0,410.0,540.0,1145.0,1580.0
2026-06-24 23:15:00,23,23:15,183.75,407.5,530.0,1141.25,1560.0
2026-06-24 23:30:00,23,23:30,182.5,405.0,520.0,1137.5,1540.0
2026-06-24 23:45:00,23,23:45,181.25,402.5,510.0,1133.75,1520.0
